ґъВл,јтіЖ,ИХЖЪ,З°КХЕМјЫ(ФЄ),їЄЕМјЫ(ФЄ),ЧоёЯјЫ(ФЄ),ЧоµНјЫ(ФЄ),КХЕМјЫ(ФЄ),іЙЅ»Бї(№Й),іЙЅ»Ѕр¶о(ФЄ),ХЗµш(ФЄ),ХЗµш·щ(%),ѕщјЫ(ФЄ),»»КЦВК(%),A№ЙБчНЁКРЦµ(ФЄ),B№ЙБчНЁКРЦµ(ФЄ),ЧЬКРЦµ(ФЄ),A№ЙБчНЁ№Й±ѕ(№Й),B№ЙБчНЁ№Й±ѕ(№Й),ЧЬ№Й±ѕ(№Й),КРУЇВК,КРѕ»ВК,КРПъВК,КРПЦВК,
002081.SZ,Ѕру«тл,20070402,34.87,34.87,37.8,34,36,1777144,64461915.7,1.13,3.2406,36.2728,7.4048,864000000,,3384000000,24000000,0,94000000,50.5348,18.6453,1.9061,10.9583,
002081.SZ,Ѕру«тл,20070403,36,35.98,36.01,35,35.36,711351,25314629.2,-0.64,-1.7778,35.5867,2.964,848640000,,3323840000,24000000,0,94000000,49.6364,18.3138,1.8723,10.7634,
002081.SZ,Ѕру«тл,20070404,35.36,35,35.6,34.21,34.4,713139,24792093.6,-0.96,-2.7149,34.7647,2.9714,825600000,,3233600000,24000000,0,94000000,48.2888,17.8166,1.8214,10.4712,
002081.SZ,Ѕру«тл,20070405,34.4,34.4,35.15,34.2,35,253445,8794677.4,0.6,1.7442,34.7005,1.056,840000000,,3290000000,24000000,0,94000000,49.1311,18.1274,1.8532,10.6539,
002081.SZ,Ѕру«тл,20070406,35,34.41,35,34.21,34.78,435060,15039490.5,-0.22,-0.6286,34.5688,1.8128,834720000,,3269320000,24000000,0,94000000,48.8223,18.0134,1.8415,10.5869,
002081.SZ,Ѕру«тл,20070409,34.78,34.8,35,34.15,34.8,796273,27504208.2,0.02,0.0575,34.5412,3.3178,835200000,,3271200000,24000000,0,94000000,48.8503,18.0238,1.8426,10.593,
002081.SZ,Ѕру«тл,20070410,34.8,34.8,35.19,34.14,34.49,620701,21313665.4,-0.31,-0.8908,34.3381,2.5863,827760000,,3242060000,24000000,0,94000000,48.4152,17.8632,1.8262,10.4986,
002081.SZ,Ѕру«тл,20070411,34.49,34.53,34.79,33.51,33.9,870741,29680195.3,-0.59,-1.7106,34.0861,3.6281,813600000,,3186600000,24000000,0,94000000,47.587,17.5576,1.795,10.319,
002081.SZ,Ѕру«тл,20070412,33.9,33.93,36.5,33.93,36,1675437,58847627.8,2.1,6.1947,35.1237,6.981,864000000,,3384000000,24000000,0,94000000,50.5348,18.6453,1.9061,10.9583,
002081.SZ,Ѕру«тл,20070413,36,36,36.2,35.05,35.12,961293,34280157.7,-0.88,-2.4444,35.6605,4.0054,842880000,,3301280000,24000000,0,94000000,49.2995,18.1895,1.8596,10.6904,
002081.SZ,Ѕру«тл,20070416,35.12,35.32,35.99,35.31,35.58,660819,23506991.5,0.46,1.3098,35.5725,2.7534,853920000,,3344520000,24000000,0,94000000,49.9453,18.4278,1.8839,10.8304,
002081.SZ,Ѕру«тл,20070417,35.58,35.58,35.96,34.45,34.73,1136200,39840424,-0.85,-2.389,35.0646,4.7342,833520000,,3264620000,24000000,0,94000000,48.7521,17.9875,1.8389,10.5717,
002081.SZ,Ѕру«тл,20070418,34.73,34.73,34.73,34.73,34.73,,,0,0,,,833520000,,3264620000,24000000,0,94000000,48.7521,17.9875,1.8389,10.5717,
002081.SZ,Ѕру«тл,20070419,34.73,35,35,33.8,34.6,1207756,41151992.3,-0.13,-0.3743,34.0731,5.0323,830400000,,3252400000,24000000,0,94000000,51.0638,6.2153,1.832,10.5321,
002081.SZ,Ѕру«тл,20070420,34.6,34.6,36.44,34.51,36.19,1231221,44340322.2,1.59,4.5954,36.0133,5.1301,868560000,,3401860000,24000000,0,94000000,53.4103,6.5009,1.9162,11.0161,
002081.SZ,Ѕру«тл,20070423,36.19,36.38,37.22,35.8,36.69,893114,32689626.2,0.5,1.3816,36.6019,3.7213,880560000,,3448860000,24000000,0,94000000,54.1482,6.5908,1.9427,11.1683,
002081.SZ,Ѕру«тл,20070424,36.69,37.1,37.2,35.8,36.48,653872,23837957.7,-0.21,-0.5724,36.4566,2.7245,875520000,,3429120000,24000000,0,94000000,53.8383,6.553,1.9316,11.1044,
002081.SZ,Ѕру«тл,20070425,36.48,35.89,36.4,34.4,36.18,858686,30413310.9,-0.3,-0.8224,35.4184,3.5779,868320000,,3400920000,24000000,0,94000000,53.3956,6.4991,1.9157,11.013,
