덜쯤,숌냔,휑퍅,품澗턍송(禱),역턍송(禱),離멕송(禱),離됴송(禱),澗턍송(禱),냥슥좆(믈),냥슥쏜띨(禱),朗딨(禱),朗딨류(%),엇송(禱),뻣癎쪽(%),A믈직繫懇令(禱),B믈직繫懇令(禱),悧懇令(禱),A믈직繫믈굶(믈),B믈직繫믈굶(믈),悧믈굶(믈),懇簞쪽,懇씐쪽,懇饋쪽,懇君쪽,
002102.SZ,ST박르,20070201,12.82,12.6,13.08,12.4,12.9,1385271,17672333.5,0.08,0.624,12.7573,5.772,309600000,,1466383738.2,24000000,0,113673158,50.468,7.2492,4.3858,8.588,
002102.SZ,ST박르,20070202,12.9,12.9,12.9,12.9,12.9,,,0,0,,,309600000,,1466383738.2,24000000,0,113673158,50.468,7.2492,4.3858,8.588,
002102.SZ,ST박르,20070205,12.9,12.51,12.8,12.12,12.52,1012969,12530816.4,-0.38,-2.9457,12.3704,4.2207,300480000,,1423187938.16,24000000,0,113673158,48.9813,7.0356,4.2566,8.3351,
002102.SZ,ST박르,20070206,12.52,12.41,12.76,12.41,12.53,1317677,16536572.4,0.01,0.0799,12.5498,5.4903,300720000,,1424324669.74,24000000,0,113673158,49.0204,7.0412,4.26,8.3417,
002102.SZ,ST박르,20070207,12.53,12.54,12.99,12.53,12.93,1509985,19353640.2,0.4,3.1923,12.8171,6.2916,310320000,,1469793932.94,24000000,0,113673158,50.5853,7.266,4.396,8.608,
002102.SZ,ST박르,20070208,12.93,13,13.86,12.9,13.61,2198585,29654861.7,0.68,5.2591,13.4882,9.1608,326640000,,1547091680.38,24000000,0,113673158,53.2457,7.6481,4.6272,9.0607,
002102.SZ,ST박르,20070209,13.61,13.65,13.94,13.35,13.43,1254010,17047504.6,-0.18,-1.3226,13.5944,5.225,322320000,,1526630511.94,24000000,0,113673158,52.5415,7.547,4.566,8.9409,
002102.SZ,ST박르,20070212,13.43,13.4,13.73,13.22,13.58,897090,12207309,0.15,1.1169,13.6077,3.7379,325920000,,1543681485.64,24000000,0,113673158,53.1283,7.6313,4.617,9.0407,
002102.SZ,ST박르,20070213,13.58,13.65,13.81,13.36,13.55,828946,11251401.1,-0.03,-0.2209,13.5731,3.4539,325200000,,1540271290.9,24000000,0,113673158,45.0204,7.6144,4.6068,9.0208,
002102.SZ,ST박르,20070214,13.55,13.5,14.1,13.48,13.73,1716144,23733054,0.18,1.3284,13.8293,7.1506,329520000,,1560732459.34,24000000,0,113673158,45.6184,7.7156,4.668,9.1406,
