ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
603848.SH,บรฬซฬซ,20180116,21.5,21.35,22.69,21.11,22.29,10738174,237895510,0.79,3.6744,22.1542,26.1907,913890000,,8938290000,41000000,0,401000000,58.8136,11.9393,8.0327,26.9506,
603848.SH,บรฬซฬซ,20180117,22.29,22,22.98,21.63,22.73,11910207,267329978,0.44,1.974,22.4455,29.0493,931930000,,9114730000,41000000,0,401000000,59.9746,12.175,8.1913,27.4826,
603848.SH,บรฬซฬซ,20180118,22.73,22.73,23.34,21.81,22.03,9099629,204188880,-0.7,-3.0796,22.4393,22.1942,903230000,,8834030000,41000000,0,401000000,58.1276,11.8001,7.939,26.6362,
603848.SH,บรฬซฬซ,20180119,22.03,21.54,24.23,21.3,24.23,24773125,579391024,2.2,9.9864,23.3879,60.4223,993430000,,9716230000,41000000,0,401000000,63.9324,12.9785,8.7319,29.2962,
603848.SH,บรฬซฬซ,20180122,24.23,23.7,23.86,22.5,23.16,17624803,407373951,-1.07,-4.416,23.1137,42.9873,949560000,,9287160000,41000000,0,401000000,61.1091,12.4053,8.3463,28.0025,
603848.SH,บรฬซฬซ,20180123,23.16,22.84,23.35,22.49,22.92,11014503,252145956,-0.24,-1.0363,22.8922,26.8646,939720000,,9190920000,41000000,0,401000000,60.4759,12.2768,8.2598,27.7123,
603848.SH,บรฬซฬซ,20180124,22.92,22.73,23.98,22.73,23.4,15213087,357147234,0.48,2.0942,23.4763,37.1051,959400000,,9383400000,41000000,0,401000000,61.7424,12.5339,8.4327,28.2927,
603848.SH,บรฬซฬซ,20180125,23.4,23.4,24.04,22.63,22.88,14470692,336643226,-0.52,-2.2222,23.2638,35.2944,938080000,,9174880000,41000000,0,401000000,60.3703,12.2553,8.2453,27.664,
603848.SH,บรฬซฬซ,20180126,22.88,22.28,22.5,21.67,21.8,10753172,237270239,-1.08,-4.7203,22.0651,26.2272,893800000,,8741800000,41000000,0,401000000,57.5207,11.6769,7.8561,26.3581,
603848.SH,บรฬซฬซ,20180129,21.8,21.8,22.25,21.01,21.95,6959833,151188605,0.15,0.6881,21.723,16.9752,899950000,,8801950000,41000000,0,401000000,57.9165,11.7572,7.9102,26.5395,
