測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600660.SH,腦珓產薛,20070201,367.7052,360.8663,372.2644,355.6231,362.9179,4445749,71485484,-4.7872,-1.3019,16.0795,1.0479,6754100134.32,,15943771202.72,424252521,0,1001493166,30.3869,5.9769,4.0522,-7374.5679,
600660.SH,腦珓產薛,20070202,362.9179,367.0213,371.5806,348.3283,349.2401,2917763,45851246,-13.6778,-3.7688,15.7145,0.6877,6499548621.72,,15342875303.12,424252521,0,1001493166,29.2417,5.7517,3.8995,-7096.6318,
600660.SH,腦珓產薛,20070205,349.2401,342.6292,348.7842,332.8268,346.5046,4907954,73595559,-2.7356,-0.7833,14.9952,1.1568,6448638319.2,,15222696123.2,424252521,0,1001493166,29.0126,5.7066,3.8689,-7041.0444,
600660.SH,腦珓產薛,20070206,346.5046,348.7842,348.7842,319.1489,348.1003,7895732,116483376,1.5957,0.4605,14.7527,1.8611,6478335995.67,,15292800644.82,424252521,0,1001493166,29.1462,5.7329,3.8867,-7073.4702,
600660.SH,腦珓產薛,20070207,348.1003,348.7842,368.1611,348.7842,365.8815,6879761,109528546,17.7812,5.1081,15.9204,1.6216,6809252962.05,,16073965314.3,424252521,0,1001493166,30.6351,6.0257,4.0853,-7434.7871,
600660.SH,腦珓產薛,20070208,365.8815,364.7416,387.9939,360.1824,378.6474,3231016,54019004,12.766,3.4891,16.7189,0.7616,7046834373.81,,16634801487.26,424252521,0,1001493166,31.7039,6.236,4.2278,-7694.1943,
600660.SH,腦珓產薛,20070209,378.6474,379.7872,390.0456,360.6383,380.9271,2617037,43354240,2.2796,0.602,16.5662,0.6169,7089259625.91,,16734950803.86,424252521,0,1001493166,31.8948,6.2735,4.2533,-7740.5166,
600660.SH,腦珓產薛,20070212,380.9271,380.2432,403.4954,374.0882,398.4803,3422032,59252838,17.5532,4.608,17.3151,0.8066,7415934067.08,,17506100541.68,424252521,0,1001493166,33.3645,6.5626,4.4493,-8097.2012,
600660.SH,腦珓產薛,20070213,398.4803,398.4803,430.3951,397.7964,421.0486,5248338,96239674,22.5684,5.6636,18.3372,1.2371,7835944062.87,,18497578776.02,424252521,0,1001493166,35.2542,6.9343,4.7012,-8555.7959,
600660.SH,腦珓產薛,20070214,421.0486,421.7325,445.6687,410.5623,436.3222,4059886,76624112,15.2736,3.6275,18.8735,0.957,8120193251.94,,19168579197.24,424252521,0,1001493166,36.533,7.1858,4.8718,-8866.1572,
